Airport_ID,Ident,Type,Airport_Name,Latitude,Longitude,Elevation_Ft,Continent,ISO_Country,ISO_Region,Municipality,Scheduled_Service,GPS_Code,IATA,Local_Code,Home_Link,Wikipedia_Link,Keywords
5023,NZAA,large_airport,Auckland International Airport,-37.01199,174.786331,23,OC,NZ,NZ-AUK,Auckland,yes,NZAA,AKL,,http://www.auckland-airport.co.nz/,https://en.wikipedia.org/wiki/Auckland_International_Airport,
5024,NZAP,medium_airport,Taupo Airport,-38.73970031738281,176.08399963378906,1335,OC,NZ,NZ-WKO,Taupo,yes,NZAP,TUO,,,https://en.wikipedia.org/wiki/Taupo_Airport,
5026,NZCH,large_airport,Christchurch International Airport,-43.48939895629883,172.53199768066406,123,OC,NZ,NZ-CAN,Christchurch,yes,NZCH,CHC,,http://www.christchurchairport.co.nz/,https://en.wikipedia.org/wiki/Christchurch_International_Airport,
5027,NZCI,medium_airport,Chatham Islands / Tuuta Airport,-43.81189,-176.46514,43,OC,NZ,NZ-WGN,Te One,yes,NZCI,CHT,,,https://en.wikipedia.org/wiki/Chatham_Islands_/_Tuuta_Airport,Karewa
5028,NZDN,medium_airport,Dunedin International Airport,-45.928101,170.197998,4,OC,NZ,NZ-OTA,Dunedin,yes,NZDN,DUD,,http://www.dnairport.co.nz/,https://en.wikipedia.org/wiki/Dunedin_International_Airport,
5030,NZGS,medium_airport,Gisborne Airport,-38.6633,177.977997,15,OC,NZ,NZ-GIS,Gisborne,yes,NZGS,GIS,,https://gisborneairport.nz/,https://en.wikipedia.org/wiki/Gisborne_Airport,
5032,NZHK,medium_airport,Hokitika Airfield,-42.713600158691406,170.98500061035156,146,OC,NZ,NZ-WTC,,yes,NZHK,HKK,,,https://en.wikipedia.org/wiki/Hokitika_Airport,
5033,NZHN,medium_airport,Hamilton International Airport,-37.8666992188,175.332000732,172,OC,NZ,NZ-WKO,Hamilton,yes,NZHN,HLZ,,http://www.hamiltonairport.co.nz/,https://en.wikipedia.org/wiki/Hamilton_International_Airport,
5036,NZKK,medium_airport,Kerikeri Airport,-35.259148,173.913317,492,OC,NZ,NZ-NTL,Kerikeri,yes,NZKK,KKE,,http://www.kerikeri-airport.co.nz/,https://en.wikipedia.org/wiki/Kerikeri_Airport,Bay of Islands Airport
5037,NZKT,medium_airport,Kaitaia Airport,-35.069837,173.287053,270,OC,NZ,NZ-NTL,Awanui,yes,NZKT,KAT,,,https://en.wikipedia.org/wiki/Kaitaia_Airport,
