Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
AA,24,AKL,2006,BNE,3320,Y,0,737,AKL,-37.01199,174.786331,BNE,-27.384199142456055,153.11700439453125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,BNE,AU,yes
AA,24,AKL,2006,PPT,4075,Y,0,340,AKL,-37.01199,174.786331,PPT,-17.553699,-149.606995,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,PPT,PF,yes
AA,24,AKL,2006,SYD,3361,Y,0,737,AKL,-37.01199,174.786331,SYD,-33.94609832763672,151.177001953125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,SYD,AU,yes
AA,24,BNE,3320,AKL,2006,Y,0,737,BNE,-27.384199142456055,153.11700439453125,AKL,-37.01199,174.786331,Brisbane International Airport,BNE,-27.384199142456055,153.11700439453125,BNE,AU,yes,AKL,NZ,yes
AA,24,CHC,2009,SYD,3361,Y,0,737,CHC,-43.48939895629883,172.53199768066406,SYD,-33.94609832763672,151.177001953125,Christchurch International Airport,CHC,-43.48939895629883,172.53199768066406,CHC,NZ,yes,SYD,AU,yes
AA,24,PPT,4075,AKL,2006,Y,0,340,PPT,-17.553699,-149.606995,AKL,-37.01199,174.786331,Faa'a International Airport,PPT,-17.553699,-149.606995,PPT,PF,yes,AKL,NZ,yes
AA,24,SYD,3361,AKL,2006,Y,0,737,SYD,-33.94609832763672,151.177001953125,AKL,-37.01199,174.786331,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,AKL,NZ,yes
AA,24,SYD,3361,CHC,2009,Y,0,737,SYD,-33.94609832763672,151.177001953125,CHC,-43.48939895629883,172.53199768066406,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,CHC,NZ,yes
AC,330,YVR,156,AKL,2006,,0,772,YVR,49.193901062,-123.183998108,AKL,-37.01199,174.786331,Vancouver International Airport,YVR,49.193901062,-123.183998108,YVR,CA,yes,AKL,NZ,yes
CA,751,AKL,2006,PVG,3406,Y,0,763 772,AKL,-37.01199,174.786331,PVG,31.1434,121.805,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,PVG,CN,yes
CA,751,PVG,3406,AKL,2006,Y,0,772 763,PVG,31.1434,121.805,AKL,-37.01199,174.786331,Shanghai Pudong International Airport,PVG,31.1434,121.805,PVG,CN,yes,AKL,NZ,yes
CI,1756,AKL,2006,BNE,3320,,0,333,AKL,-37.01199,174.786331,BNE,-27.384199142456055,153.11700439453125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,BNE,AU,yes
CI,1756,AKL,2006,SYD,3361,,0,333,AKL,-37.01199,174.786331,SYD,-33.94609832763672,151.177001953125,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,SYD,AU,yes
CI,1756,BNE,3320,AKL,2006,,0,333,BNE,-27.384199142456055,153.11700439453125,AKL,-37.01199,174.786331,Brisbane International Airport,BNE,-27.384199142456055,153.11700439453125,BNE,AU,yes,AKL,NZ,yes
CI,1756,SYD,3361,AKL,2006,,0,333,SYD,-33.94609832763672,151.177001953125,AKL,-37.01199,174.786331,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,AKL,NZ,yes
CX,1680,AKL,2006,HKG,3077,,0,343,AKL,-37.01199,174.786331,HKG,22.308901,113.915001,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,HKG,HK,yes
CX,1680,HKG,3077,AKL,2006,,0,343,HKG,22.308901,113.915001,AKL,-37.01199,174.786331,Hong Kong International Airport,HKG,22.308901,113.915001,HKG,HK,yes,AKL,NZ,yes
CZ,1767,AKL,2006,CAN,3370,,0,787,AKL,-37.01199,174.786331,CAN,23.392401,113.299004,Auckland International Airport,AKL,-37.01199,174.786331,AKL,NZ,yes,CAN,CN,yes
CZ,1767,CAN,3370,AKL,2006,,0,787,CAN,23.392401,113.299004,AKL,-37.01199,174.786331,Guangzhou Baiyun International Airport,CAN,23.392401,113.299004,CAN,CN,yes,AKL,NZ,yes
