date,header,rating,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,wifi_&_connectivity,value_for_money,recommended,inflight_entertainment,verified_status,review_content,textblob_sentiment,vader_sentiment,rating_sentiment,year,departure,departure_country,arrival,arrival_country,via,is_domestic
2024-09-15,Service was so good,10,,Business,Economy Class,Melbourne to Tokyo,August 2024,5.0,5.0,5.0,5.0,5.0,5.0,True,5.0,False,service was so good such a lovely experience service was so good and food was delicious the cabin crew were so nice and lovely would definitely fly with this airline again,Positive,Positive,Positive,2024,melbourne,AU,tokyo,JP,,False
2024-09-12,a highly disappointing experience,4,,Solo Leisure,Economy Class,Raratonga to Auckland via Taipei,August 2024,3.0,4.0,3.0,1.0,4.0,1.0,False,3.0,False,a highly disappointing experience i recently had a highly disappointing experience with air new zealand and i feel compelled to share it to help future travelers make informed decisions my ordeal began with an extended delay at the airport that quickly turned into an overnight stay largely due to the airlines lack of communication and support initially our flight was delayed and after waiting for about four hours it was eventually canceled throughout this period there was minimal information provided about the situation leaving passengers confused and frustrated to add to the inconvenience the airline offered no immediate assistance in rebooking our flight which only compounded the stress of the situation while air new zealand did provide hotel and meal vouchers the experience with these compensations was far from satisfactory the hotel we were directed to did not accept the vouchers due to delays in payment processing by the airline this left us scrambling for alternative accommodations and additional expenses the next leg of our journey was similarly marred by issues the second flight was delayed again this time due to a broken plane the airline had to find a new aircraft and transfer catering further prolonging our travel experience and adding to the frustration one of the most frustrating aspects of this ordeal has been the difficulty in resolving the financial implications of the delays efforts to seek reimbursement for outofpocket expenses on hotels and meals were met with a series of excuses slow responses and an overall lack of effective communication reaching a customer service representative was challenging and when contact was made responses were often unhelpful and evasive overall my experience with air new zealand was far from satisfactory the combination of poor communication inadequate support and slow reimbursement processes has left a lasting negative impression for anyone considering flying with air new zealand i recommend being prepared for potential disruptions and ensuring you have a contingency plan in place,Negative,Negative,Neutral,2024,raratonga,,auckland,NZ,Taipei,False
2024-08-29,the legroom was huge,9,A320,Family Leisure,Economy Class,Auckland to Queenstown,December 2023,5.0,5.0,5.0,5.0,4.0,5.0,True,-1.0,False,the legroom was huge i was honestly quite surprised about air new zealand take note that this was a domestic flight first up the legroom was huge i could literally stretch my legs very surprising because it is an a320 cabin crew came round and bought some snacks including this new zealand based cookie which was delicious loved the service would fly air nz again,Positive,Positive,Positive,2024,auckland,NZ,queenstown,NZ,,True
2024-08-19,getting worse by the day,3,,Business,Economy Class,Auckland to Napier,August 2024,4.0,5.0,-1.0,5.0,-1.0,1.0,False,-1.0,False,getting worse by the day air new zealand domestic service is getting worse by the day flights constantly canceled at the last minute tonight is the 3rd time in a row i have ended up staying an extra night because of all manner of weather and engine trouble excuses if there was any alternative i would definitely be using it,Negative,Negative,Negative,2024,auckland,NZ,napier,NZ,,True
2024-08-13,never fly Air New Zealand again,1,ATR-72,Family Leisure,Economy Class,Napier to Auckland,June 2024,3.0,4.0,-1.0,1.0,-1.0,1.0,False,-1.0,True,never fly air new zealand again air new zealand bumped us off our flight on the 30062024 we were on time but they made us adjust our luggage saying we were over weight which we werent as we had just weighed our bags the air nz csa at check in got our flight number wrong several times as well she wouldnt listen they could tell we had a connecting international flight so they charged us 100 nz extra to change we had no choice but to pay as they hold the monopoly on regional air travel do not fly with air nz the customer communication and engagement specialist told later after our holiday us that we would get a refund and that they would make it right later on which was a lie in the end they just kept saying this until they finally said the 100 charge was valid she did nothing to address the customer service agent rude unprofessional behaviour from now on we will drive to auckland and spend the money we would have spent on flights on a few nights in an up market hotel and on car storage i estimate that we would have 400 in change still i will never fly air new zealand again garbage militant service,Negative,Negative,Negative,2024,napier,NZ,auckland,NZ,,True
2024-07-29,has been going downhill,1,,Solo Leisure,Business Class,San Francisco to Queenstown via Auckland,August 2023,2.0,3.0,2.0,1.0,1.0,2.0,False,2.0,False,has been going downhill very unfortunately the service care and quality of this airline has been going downhill ever since 1015 years ago its either lack of staff training or proper leadership that is me looking for alternatives and every paying more just so to avoid air new zealand this is especially sad for me as i have friends that work at this airline and ive been a loyal customer for many years the last few flights ive had with air nz the customer service representatives provide wrong information dont hold themselves accountable try to shift their mistakes to me so that they are not getting in trouble by owning their mistake very disappointed to see the lack of integrity across the board this was not the case in the past quality of food on the planes have declined greatly and so has the service when onboard we may get one flight attendant that is a pleasure but many are not in general i see no hope for improvement as ive tried to contact the management team to voice my concerns and feedback but no own cares they originally quoted me a 50 change fee on a ticket which they later called and said they made a mistake and the fee is 3000 they said sorry now you have to pay 3k more our representative made a mistake but first they tried to make up excuses and make it sound like i misunderstood,Negative,Negative,Negative,2024,san francisco,US,queenstown,NZ,Auckland,False
2024-07-19,Cabin crew and aircraft were great,10,A320N,Solo Leisure,Economy Class,Auckland to Hobart,December 2023,4.0,5.0,4.0,4.0,-1.0,5.0,True,-1.0,True,cabin crew and aircraft were great checkin was efficient boarding and departure were late there seems to be a late departure problem from auckland for most flights of all airlines something to do with ground crew i suspect having observed them cabin crew and aircraft were great air new zealand seem to have the most genuine caring friendly cabin crew in the sky seats were clean reasonably comfortable and pretty much as most economy seats are on the newer a320 neo air new zealand work their economy fares on the system of you get what you pay for so the basic fare is added to if you want meals or checked baggage or seat choices etc it works very well service was excellent and some time was made up in the flight duration so arrival wasnt too late,Positive,Positive,Positive,2024,auckland,NZ,hobart,AU,,False
2024-06-25,professional and very sympathetic,10,,Solo Leisure,Economy Class,Dunedin to Brisbane via Auckland,June 2024,3.0,3.0,3.0,4.0,3.0,4.0,True,4.0,False,professional and very sympathetic missed my flight due to my own stupidity the ticket sales desk operators were both professional and very sympathetic thankyou rahjiv youre an absolute credit to your company and thanks air new zealand for the smooth rebooking,Positive,Positive,Positive,2024,dunedin,NZ,brisbane,AU,Auckland,False
2024-06-22,Absolutely hopeless,1,,Solo Leisure,Business Class,Auckland to Kerikeri,June 2024,2.0,2.0,1.0,2.0,3.0,2.0,False,1.0,False,absolutely hopeless absolutely hopeless cancellation then delays will never fly them again not in this lifetime needs a management restructure and a big clean out of top end,Positive,Negative,Negative,2024,auckland,NZ,kerikeri,NZ,,True
2024-06-11,they still withdrew the funds,2,Boeing 789,Solo Leisure,Economy Class,Auckland to Tahiti,June 2024,5.0,5.0,1.0,5.0,5.0,1.0,False,-1.0,False,they still withdrew the funds i put in a bid for an upgrade using their one up program on the day of travel they emailed me to say my bid was not successful however they still withdrew the funds from my account for the upgrade now i am in a position where i am asking an airline to make a refund we all know how difficult and time consuming that is,Negative,Negative,Negative,2024,auckland,NZ,tahiti,,,False
