date,header,rating,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,ground_service,wifi_&_connectivity,value_for_money,recommended,aircraft,verified_status,review_content,combined_content,textblob_sentiment,vader_sentiment,rating_sentiment,year
2024-09-15,Service was so good,10,Business,Economy Class,Melbourne to Tokyo,August 2024,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,,False,service was so good such a lovely experience service was so good and food was delicious the cabin crew were so nice and lovely would definitely fly with this airline again,Service was so good Such a lovely experience! Service was so good and food was delicious! The cabin crew were so nice and lovely. Would definitely fly with this airline again.,Positive,Positive,Positive,2024
2024-09-12,a highly disappointing experience,4,Solo Leisure,Economy Class,Raratonga to Auckland via Taipei,August 2024,3.0,4.0,3.0,3.0,1.0,4.0,1.0,False,,False,a highly disappointing experience i recently had a highly disappointing experience with air new zealand and i feel compelled to share it to help future travelers make informed decisions my ordeal began with an extended delay at the airport that quickly turned into an overnight stay largely due to the airlines lack of communication and support initially our flight was delayed and after waiting for about four hours it was eventually canceled throughout this period there was minimal information provided about the situation leaving passengers confused and frustrated to add to the inconvenience the airline offered no immediate assistance in rebooking our flight which only compounded the stress of the situation while air new zealand did provide hotel and meal vouchers the experience with these compensations was far from satisfactory the hotel we were directed to did not accept the vouchers due to delays in payment processing by the airline this left us scrambling for alternative accommodations and additional expenses the next leg of our journey was similarly marred by issues the second flight was delayed again this time due to a broken plane the airline had to find a new aircraft and transfer catering further prolonging our travel experience and adding to the frustration one of the most frustrating aspects of this ordeal has been the difficulty in resolving the financial implications of the delays efforts to seek reimbursement for outofpocket expenses on hotels and meals were met with a series of excuses slow responses and an overall lack of effective communication reaching a customer service representative was challenging and when contact was made responses were often unhelpful and evasive overall my experience with air new zealand was far from satisfactory the combination of poor communication inadequate support and slow reimbursement processes has left a lasting negative impression for anyone considering flying with air new zealand i recommend being prepared for potential disruptions and ensuring you have a contingency plan in place,"a highly disappointing experience I recently had a highly disappointing experience with Air New Zealand, and I feel compelled to share it to help future travelers make informed decisions. My ordeal began with an extended delay at the airport that quickly turned into an overnight stay, largely due to the airline's lack of communication and support. Initially, our flight was delayed, and after waiting for about four hours, it was eventually canceled. Throughout this period, there was minimal information provided about the situation, leaving passengers confused and frustrated. To add to the inconvenience, the airline offered no immediate assistance in rebooking our flight, which only compounded the stress of the situation. While Air New Zealand did provide hotel and meal vouchers, the experience with these compensations was far from satisfactory. The hotel we were directed to did not accept the vouchers due to delays in payment processing by the airline. This left us scrambling for alternative accommodations and additional expenses. The next leg of our journey was similarly marred by issues. The second flight was delayed again, this time due to a broken plane. The airline had to find a new aircraft and transfer catering, further prolonging our travel experience and adding to the frustration. One of the most frustrating aspects of this ordeal has been the difficulty in resolving the financial implications of the delays. Efforts to seek reimbursement for out-of-pocket expenses on hotels and meals were met with a series of excuses, slow responses, and an overall lack of effective communication. Reaching a customer service representative was challenging, and when contact was made, responses were often unhelpful and evasive. Overall, my experience with Air New Zealand was far from satisfactory. The combination of poor communication, inadequate support, and slow reimbursement processes has left a lasting negative impression. For anyone considering flying with Air New Zealand, I recommend being prepared for potential disruptions and ensuring you have a contingency plan in place.",Negative,Negative,Neutral,2024
2024-08-29,the legroom was huge,9,Family Leisure,Economy Class,Auckland to Queenstown,December 2023,5.0,5.0,5.0,-1.0,5.0,4.0,5.0,True,A320,False,the legroom was huge i was honestly quite surprised about air new zealand take note that this was a domestic flight first up the legroom was huge i could literally stretch my legs very surprising because it is an a320 cabin crew came round and bought some snacks including this new zealand based cookie which was delicious loved the service would fly air nz again,"the legroom was huge I was honestly quite surprised about Air New Zealand! Take note that this was a domestic flight. First up, the legroom was huge. I could literally stretch my legs! Very surprising because it is an A320. Cabin crew came round and bought some snacks, including this new Zealand based cookie, which was delicious. Loved the service, would fly Air NZ again.",Positive,Positive,Positive,2024
2024-08-19,getting worse by the day,3,Business,Economy Class,Auckland to Napier,August 2024,4.0,5.0,-1.0,-1.0,5.0,-1.0,1.0,False,,False,getting worse by the day air new zealand domestic service is getting worse by the day flights constantly canceled at the last minute tonight is the 3rd time in a row i have ended up staying an extra night because of all manner of weather and engine trouble excuses if there was any alternative i would definitely be using it,getting worse by the day Air New Zealand domestic service is getting worse by the day. Flights constantly canceled at the last minute. Tonight is the 3rd time in a row I have ended up staying an extra night because of all manner of 'weather' and 'engine trouble' excuses. If there was any alternative I would definitely be using it.,Negative,Negative,Negative,2024
2024-08-13,never fly Air New Zealand again,1,Family Leisure,Economy Class,Napier to Auckland,June 2024,3.0,4.0,-1.0,-1.0,1.0,-1.0,1.0,False,ATR-72,True,never fly air new zealand again air new zealand bumped us off our flight on the 30062024 we were on time but they made us adjust our luggage saying we were over weight which we werent as we had just weighed our bags the air nz csa at check in got our flight number wrong several times as well she wouldnt listen they could tell we had a connecting international flight so they charged us 100 nz extra to change we had no choice but to pay as they hold the monopoly on regional air travel do not fly with air nz the customer communication and engagement specialist told later after our holiday us that we would get a refund and that they would make it right later on which was a lie in the end they just kept saying this until they finally said the 100 charge was valid she did nothing to address the customer service agent rude unprofessional behaviour from now on we will drive to auckland and spend the money we would have spent on flights on a few nights in an up market hotel and on car storage i estimate that we would have 400 in change still i will never fly air new zealand again garbage militant service,"never fly Air New Zealand again Air New Zealand bumped us off our flight on the 30/06/2024. We were on time, but they made us adjust our luggage saying we were over weight. Which we weren't as we had just weighed our bags. The Air NZ CSA at check in got our flight number wrong several times as well. She wouldn't listen. They could tell we had a connecting international flight so they charged us $100 NZ extra to change. We had no choice but to pay as they hold the monopoly on regional air travel. Do not fly with Air NZ. The Customer Communication and Engagement Specialist told later after our holiday us that we would get a refund and that they would make it right later on which was a lie. In the end they just kept saying this until they finally said the $100 charge was valid. She did nothing to address the customer service agent rude unprofessional behaviour. From now on we will drive to Auckland and spend the money we would have spent on flights on a few nights in an up market Hotel and on car storage. I estimate that we would have $400 in change still. I will never fly Air New Zealand again. Garbage militant service.",Negative,Negative,Negative,2024
2024-07-29,has been going downhill,1,Solo Leisure,Business Class,San Francisco to Queenstown via Auckland,August 2023,2.0,3.0,2.0,2.0,1.0,1.0,2.0,False,,False,has been going downhill very unfortunately the service care and quality of this airline has been going downhill ever since 1015 years ago its either lack of staff training or proper leadership that is me looking for alternatives and every paying more just so to avoid air new zealand this is especially sad for me as i have friends that work at this airline and ive been a loyal customer for many years the last few flights ive had with air nz the customer service representatives provide wrong information dont hold themselves accountable try to shift their mistakes to me so that they are not getting in trouble by owning their mistake very disappointed to see the lack of integrity across the board this was not the case in the past quality of food on the planes have declined greatly and so has the service when onboard we may get one flight attendant that is a pleasure but many are not in general i see no hope for improvement as ive tried to contact the management team to voice my concerns and feedback but no own cares they originally quoted me a 50 change fee on a ticket which they later called and said they made a mistake and the fee is 3000 they said sorry now you have to pay 3k more our representative made a mistake but first they tried to make up excuses and make it sound like i misunderstood,"has been going downhill Very unfortunately the service, care, and quality of this airline has been going downhill ever since 10-15 years ago. It's either lack of staff training, or proper leadership that is me looking for alternatives and every paying more just so to avoid Air New Zealand. This is especially sad for me as I have friends that work at this airline and I've been a loyal customer for many years. The last few flights I've had with Air NZ, the customer service representatives provide wrong information, don't hold themselves accountable, try to shift their mistakes to me so that they are not getting in trouble by owning their  mistake! Very disappointed to see the lack of integrity across the board. This was not the case in the past! Quality of food on the planes have declined greatly, and so has the service when onboard. We may get one flight attendant that is a pleasure, but many are not. In general, I see no hope for improvement as I've tried to contact the management team to voice my concerns and feedback, but no own cares. They originally quoted me a $50 change fee on a ticket, which they later called and said they made a mistake and the fee is $3000+! They said ""Sorry. Now you have to pay $3K more. Our representative made a mistake."" But first they tried to make up excuses and make it sound like I misunderstood.",Negative,Negative,Negative,2024
2024-07-19,Cabin crew and aircraft were great,10,Solo Leisure,Economy Class,Auckland to Hobart,December 2023,4.0,5.0,4.0,-1.0,4.0,-1.0,5.0,True,A320N,True,cabin crew and aircraft were great checkin was efficient boarding and departure were late there seems to be a late departure problem from auckland for most flights of all airlines something to do with ground crew i suspect having observed them cabin crew and aircraft were great air new zealand seem to have the most genuine caring friendly cabin crew in the sky seats were clean reasonably comfortable and pretty much as most economy seats are on the newer a320 neo air new zealand work their economy fares on the system of you get what you pay for so the basic fare is added to if you want meals or checked baggage or seat choices etc it works very well service was excellent and some time was made up in the flight duration so arrival wasnt too late,"Cabin crew and aircraft were great Check-in was efficient; boarding and departure were late. There seems to be a late departure problem from Auckland for most flights of all airlines - something to do with ground crew I suspect, having observed them. Cabin crew and aircraft were great - Air New Zealand seem to have the most genuine, caring, friendly cabin crew in the sky. Seats were clean, reasonably comfortable and pretty much as most economy seats are on the newer A320 Neo. Air New Zealand work their economy fares on the system of ""you get what you pay for"", so the basic fare is added to if you want meals or checked baggage or seat choices, etc. It works very well. Service was excellent and some time was made up in the flight duration so arrival wasn't too late.",Positive,Positive,Positive,2024
2024-07-07,Such ugly customer service,1,Family Leisure,Economy Class,,July 2024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,False,,False,such ugly customer service air nz sold a connecting flight then didnt wait for it to arrive and left 30 minutes before it landed my mum missed her international flight and they wouldnt help her over the phone and said it was uniteds problem united referred her back to air nz where she bought the tickets originally now shes stuck for multiple nights at the airport with no one willing to help her rebook and they arent even covering the full accomodation costs such ugly customer service from air new zealand i urge everyone to look elsewhere when booking,"Such ugly customer service Air NZ sold a connecting flight then didn’t wait for it to arrive and left 30 minutes before it landed. My mum missed her international flight and they wouldn’t help her over the phone and said it was United’s problem. United referred her back to Air NZ where she bought the tickets originally. Now she’s stuck for multiple nights at the airport with no one willing to help her rebook and they aren’t even covering the full accomodation costs. Such ugly customer service from air New Zealand, I urge everyone to look elsewhere when booking.",Negative,Negative,Negative,2024
2024-06-25,professional and very sympathetic,10,Solo Leisure,Economy Class,Dunedin to Brisbane via Auckland,June 2024,3.0,3.0,3.0,4.0,4.0,3.0,4.0,True,,False,professional and very sympathetic missed my flight due to my own stupidity the ticket sales desk operators were both professional and very sympathetic thankyou rahjiv youre an absolute credit to your company and thanks air new zealand for the smooth rebooking,"professional and very sympathetic Missed my flight due to my own stupidity. The ticket sales desk operators were both professional and very sympathetic. Thank-you Rahjiv, you're an absolute credit to your company and thanks Air New Zealand for the smooth rebooking.",Positive,Positive,Positive,2024
2024-06-22,Absolutely hopeless,1,Solo Leisure,Business Class,Auckland to Kerikeri,June 2024,2.0,2.0,1.0,1.0,2.0,3.0,2.0,False,,False,absolutely hopeless absolutely hopeless cancellation then delays will never fly them again not in this lifetime needs a management restructure and a big clean out of top end,Absolutely hopeless Absolutely hopeless cancellation then delays. Will never fly them again not in this lifetime. Needs a management restructure and a big clean out of top end.,Positive,Negative,Negative,2024
